model-1640219230,1640219230.615,0.47,0.2507,0.52,0.2501
model-1640219230,1640219230.633,0.53,0.2496,0.57,0.2475
model-1640219230,1640219230.654,0.55,0.2484,0.6,0.242
model-1640219230,1640219230.672,0.52,0.2608,0.6,0.2437
model-1640219230,1640219230.69,0.46,0.2547,0.56,0.2494
model-1640219230,1640219230.706,0.46,0.2503,0.46,0.2514
model-1640219230,1640219230.723,0.51,0.25,0.5,0.25
model-1640219230,1640219230.737,0.51,0.2493,0.44,0.2527
model-1640219230,1640219230.752,0.55,0.2483,0.52,0.2486
model-1640219230,1640219230.767,0.42,0.2543,0.48,0.2498
model-1640219230,1640219230.782,0.54,0.2488,0.55,0.2478
model-1640219230,1640219230.798,0.48,0.2495,0.59,0.249
model-1640219230,1640219230.813,0.51,0.2495,0.49,0.25
model-1640219230,1640219230.827,0.46,0.2504,0.44,0.2501
model-1640219230,1640219230.843,0.5,0.2498,0.58,0.2489
model-1640219230,1640219230.855,0.49,0.2501,0.48,0.2504
model-1640219230,1640219230.868,0.52,0.2495,0.5,0.2497
model-1640219230,1640219230.883,0.43,0.2505,0.52,0.2497
model-1640219230,1640219230.898,0.53,0.2497,0.48,0.2499
model-1640219230,1640219230.911,0.54,0.2495,0.56,0.2479
model-1640219230,1640219230.925,0.51,0.248,0.48,0.2497
model-1640219230,1640219230.938,0.55,0.248,0.4,0.2598
model-1640219230,1640219230.95,0.59,0.2441,0.39,0.2675
model-1640219230,1640219230.963,0.54,0.2465,0.51,0.2533
model-1640219230,1640219230.976,0.43,0.2702,0.41,0.2625
model-1640219230,1640219230.99,0.57,0.2446,0.52,0.2471
model-1640219230,1640219231.002,0.49,0.2519,0.54,0.2476
model-1640219230,1640219231.016,0.47,0.2502,0.56,0.249
model-1640219230,1640219231.03,0.63,0.2483,0.48,0.2499
model-1640219230,1640219231.043,0.5,0.2495,0.54,0.2487
model-1640219230,1640219231.055,0.6,0.2465,0.59,0.2466
model-1640219230,1640219231.068,0.48,0.2515,0.56,0.2477
model-1640219230,1640219231.082,0.54,0.2486,0.52,0.2496
model-1640219230,1640219231.096,0.51,0.2503,0.46,0.2525
model-1640219230,1640219231.109,0.46,0.2531,0.46,0.2525
model-1640219230,1640219231.123,0.47,0.2515,0.52,0.2499
model-1640219230,1640219231.136,0.48,0.2514,0.43,0.2535
model-1640219230,1640219231.149,0.45,0.2527,0.51,0.25
model-1640219230,1640219231.163,0.49,0.2507,0.44,0.252
model-1640219230,1640219231.177,0.53,0.2491,0.52,0.2497
model-1640219230,1640219231.19,0.57,0.2483,0.5,0.25
model-1640219230,1640219231.203,0.52,0.2496,0.5,0.2502
model-1640219230,1640219231.216,0.53,0.2493,0.45,0.2514
model-1640219230,1640219231.229,0.54,0.2491,0.56,0.2485
model-1640219230,1640219231.242,0.42,0.2522,0.44,0.2516
model-1640219230,1640219231.255,0.55,0.2489,0.43,0.2518
model-1640219230,1640219231.268,0.52,0.2496,0.52,0.2496
model-1640219230,1640219231.281,0.58,0.2481,0.54,0.249
model-1640219230,1640219231.294,0.49,0.2504,0.5,0.2501
model-1640219230,1640219231.307,0.48,0.2503,0.46,0.2511
model-1640219230,1640219231.32,0.41,0.2517,0.52,0.2496
model-1640219230,1640219231.333,0.49,0.2496,0.44,0.2512
model-1640219230,1640219231.346,0.54,0.249,0.59,0.248
model-1640219230,1640219231.36,0.49,0.2492,0.57,0.2488
model-1640219230,1640219231.373,0.4,0.2515,0.54,0.2491
model-1640219230,1640219231.385,0.49,0.2499,0.56,0.2489
model-1640219230,1640219231.399,0.55,0.2498,0.48,0.2501
model-1640219230,1640219231.411,0.51,0.2506,0.51,0.2504
model-1640219230,1640219231.424,0.63,0.2478,0.53,0.2499
model-1640219230,1640219231.437,0.46,0.2524,0.56,0.2481
model-1640219230,1640219231.45,0.54,0.2491,0.58,0.2476
model-1640219230,1640219231.463,0.49,0.25,0.49,0.2517
model-1640219230,1640219231.476,0.5,0.2499,0.53,0.2499
model-1640219230,1640219231.49,0.45,0.2508,0.53,0.2496
model-1640219230,1640219231.503,0.48,0.2507,0.6,0.2479
model-1640219230,1640219231.516,0.65,0.2469,0.56,0.2491
model-1640219230,1640219231.529,0.48,0.2501,0.53,0.2491
model-1640219230,1640219231.542,0.59,0.2475,0.52,0.25
model-1640219230,1640219231.555,0.52,0.249,0.56,0.2491
model-1640219230,1640219231.569,0.57,0.2474,0.42,0.2542
model-1640219230,1640219231.582,0.52,0.2493,0.4,0.2569
model-1640219230,1640219231.595,0.54,0.247,0.45,0.2537
model-1640219230,1640219231.608,0.52,0.2485,0.42,0.2579
model-1640219230,1640219231.621,0.46,0.2539,0.46,0.2511
